video_id,category_id
0BBw8q_4Xj0,10
0BL0XXyZWqA,17
0BLdf0gj3RY,20
0BOjLXVdWsA,17
0BZgwzyocbA,10
0BbjnNBt_zM,10
0BnG_ofrpmg,24
0BsGxeEeNDs,24
0BvDNk6Gml0,20
0C7_1eT29wY,17
0CLlwu_utSg,2
0CUrW6A6ZZI,24
0D6qAIh71aU,2
0D8zWMZqa3M,24
0DFT6G3cLXk,17
0DHMhd3mZOk,28
0DJQTKWx3Dk,27
0DNoSn9W2vI,20
0E8t0Q546tE,24
0EMWaPJ5wO4,22
0EVVKs6DQLo,10
0EtGCurj6h8,24
0EzPtJrOZgY,17
0F3d6e8B3bM,25
0F9sX_CHi3g,17
0FFpW-dzTdY,24
0FLvJhHePWs,24
0FRVx_c9T0c,27
0Fc7jfStbkE,17
0FkYz2-KVS0,20
0FrGyJS-l7U,10
0G-ZmKp4xR4,20
0G-rS1ak1IA,22
0GSv9YlUzw0,24
0GfTlrspLYQ,20
0GqdlZyWtrg,26
0GxSgk4uWeU,20
0H4FGAYZqlY,1
0HUA4fJU20M,17
0HVYX6bq1Pc,10
0HgvMc05Fec,2
0HogRWosbzo,10
0HrAVD-AZ8M,22
0Hs2DX9Amcg,20
0I2EiacT0qQ,2
0I7j9tjYAg4,24
0IE1TVLH7eI,10
0IR2dYcyTCs,10
0IZP_oX_6Ic,22
0Iy5-YKXv0E,20
0IzIyM3jQvk,17
0J-n-o4WFLU,17
0J8I6jE-vnY,17
0JFhV5sBUYo,10
0JMpYFj2KkQ,24
0JPsRDTS5KA,24
0JPuKiyoBeY,24
0JStZXppX5U,23
0JTx7hMF6fE,24
0Jp8f31oiKM,10
0JrGRiUOcfQ,23
0KEliHPskJY,23
0KFKtJjg_vU,17
0KQN_f2QVHQ,22
0K_AiDW259k,23
0KcXU4xyTxc,24
0Kl8NjfrZ8I,24
0KmR-AU3ZHU,24
0KnYP3lOyRQ,20
0Kr4JO9591c,22
0Kx3sobEBFE,10
0L1T4VYL_9M,22
0L1gu4ZcHeI,17
0L45EEZ-2Cc,17
0L8aqww8pAc,26
0L8kRN_bPXM,10
0LATo4EzTNM,17
0LMDok40oQM,24
0LRJJrbp0LU,20
0LRaIfFbGLs,17
0LYkz7CQb6E,17
0La8uz7WJiU,17
0Lb-M1c6k3g,22
0LbJHBwwKlo,22
0LkZCkUFCFI,20
0LsrAoZZ1A0,20
0LvjHGWc0fE,24
0MGmz9zxBG8,23
0MLaJusYjw0,24
0MRGejvHFAw,20
0Mit0hwcSG0,10
0Mjpsr3YNQc,24
0Mq4Xdo0EBQ,24
0N2IiV6VMqU,27
0N3k52iJJ14,27
0N5lXiQjBeY,24
0NHK4hbw7ec,26
0NN-upiGFQY,22
0NWr7LVDVv0,24
0Nbw3jSafGM,17
0Nj3Il8JIDw,23
0NjWOniPT8A,23
0NqBmCcI1sM,20
0NuWaq3R0kI,24
0O7nC60mHas,24
0O8mmIdON3Y,22
0OEh1GdzVoA,10
0OFwRdDeX4Y,20
0OHt3tTqyl4,20
0OOuuxWnCJU,17
0OP6KvlZ-oQ,27
0OPKk1Hwk9s,20
0Oe1--ss51Q,24
0OfSyl9gkWM,10
0OjxEbSu6C4,24
0OnHP2tlTU0,24
0Ot-2-MNntw,23
0OtNQEpSeIA,24
0OuNnRxw-lk,20
0PBiNQNk4sk,17
0PFS5UNdwFQ,17
0PQYxTLeZvA,24
0PSmloZtIvw,26
0PVS_gZ8IpU,22
0Pl73lnrlVA,10
0PxmJDdgt4Y,25
0PzWnljCpL0,27
0Q3ThtMGzBE,17
0Q914lp_Pfw,10
0QB6EB6D8UQ,23
0QJaZilqnFk,20
0QOeNi4C8Uk,22
0QRTAwJoXuk,20
0QTTQ8-vxyA,10
0QTfDGhq6tA,20
0QclDjGFpR0,22
0QmZR06FutI,22
0QolKl79g_0,20
0QybL8_oU-U,17
0RJqfAjF8sc,24
0RKtpwPUzF0,20
0RNwR1Sewh8,27
0RQb-I9Vyko,15
0RQfEH2h71w,24
0RUkNlrsyoA,17
0RY_eOLa2BI,22
0Rdg3ejpCCA,17
0Rsa4U8mqkw,24
0Rx9gZwCtO0,17
0Rzq1qqH5cU,24
0S0TS6D2WQ0,24
0S7vC6RzHq0,20
0S8HT__wGhw,10
0SHKKaVnCBk,26
0SIIRGgWVb8,23
0SKD5Aj_VRc,24
0SLgKlJVD28,22
0SR9SVqewCw,17
0SSwfpO-xhM,19
0ST4_hmop9Y,22
0SY3yZId1sY,23
0SYKA00eFWY,23
0SZq3EqyW-U,24
0SwJIcL0XQE,24
0T1OAnEJ77E,20
0T3fZiE7Feg,10
0T5Sula9F-8,22
0T8z4BJPEBU,28
0TGfQyIAUXA,22
0TSe_sxAMwI,23
0ThP1VGsdzw,22
0TpyqMbHAOA,17
0TqNTtda-2U,22
0U-tV0aZSsI,23
0U02wg5Y8jg,24
0U1CjXv4xVU,20
0U4P86yaYzI,10
0U6aIwd5h9s,24
0UgoLFvryBY,10
0Uhh62MUEic,10
0V4cMxnrbYo,22
0V7MdrBMSu0,10
0VHkFJ8nqPw,17
0VJ37Gsmq4Y,10
0VLHzeJGB5Q,24
0VT4J0AAE1I,10
0ViTUk-LBJI,26
0VwTqmTfymw,24
0W90Le0eQKk,17
0W9yXI2U6hc,2
0WGPP_3BPPQ,10
0WHiw5oHUkg,17
0WOquS6DKl8,10
0WULTU6zl2E,10
0WVDKZJkGlY,24
0WxqFtOTiBs,24
0X71rqu63Qo,20
0XChayq5aqc,17
0XF8khk9Lrs,26
0XFVWH7ckow,28
0XYQHB5Oy20,22
0XZlXZq33zc,23
0X_wujZXwc4,24
0XeYtTS4zJ8,24
0XrWICeMLDY,10
0XsoO2CJBxg,26
0Xx4UQtS738,17
0Y63VbNxJho,24
0YLno_k3034,28
0YN9YSa0oQE,24
0YVjUl7K1Vc,25
0YYMQIr-OAM,24
0YYuodWrGZM,20
0Yb0EJdJSww,24
0YtgEAmWwLU,20
0YvqlHU_G6o,20
0YztXlnFBrY,10
0Z23TZSXa2o,24
0Z7oz2sAyX8,24
0ZFT63GbRrk,25
0ZJZ8otbTi4,17
